,run_name,extrusion,layer_height,line,layer_width_intended,replicate,layer_width_measured,over-under
0,exp2_l2l_0,2,10,1,18,1,-1.0,-1.0
1,exp2_l2l_0,2,10,1,18,2,-1.0,-1.0
2,exp2_l2l_0,2,10,1,18,3,-1.0,-1.0
3,exp2_l2l_0,2,10,1,18,4,-1.0,-1.0
4,exp2_l2l_0,2,10,1,18,5,-1.0,-1.0
5,exp2_l2l_0,2,10,2,24,1,23.4,0.0
6,exp2_l2l_0,2,10,2,24,2,23.0,0.0
7,exp2_l2l_0,2,10,2,24,3,23.6,0.0
8,exp2_l2l_0,2,10,2,24,4,23.1,0.0
9,exp2_l2l_0,2,10,2,24,5,23.2,0.0
10,exp2_l2l_0,2,10,3,30,1,29.6,0.0
11,exp2_l2l_0,2,10,3,30,2,29.4,0.0
12,exp2_l2l_0,2,10,3,30,3,29.5,0.0
13,exp2_l2l_0,2,10,3,30,4,29.0,0.0
14,exp2_l2l_0,2,10,3,30,5,29.0,0.0
15,exp2_l2l_0,2,10,4,36,1,35.6,0.0
16,exp2_l2l_0,2,10,4,36,2,34.7,0.0
17,exp2_l2l_0,2,10,4,36,3,34.7,0.0
18,exp2_l2l_0,2,10,4,36,4,35.2,0.0
19,exp2_l2l_0,2,10,4,36,5,35.0,0.0
20,exp2_l2l_0,2,10,5,42,1,40.8,0.0
21,exp2_l2l_0,2,10,5,42,2,39.4,0.0
22,exp2_l2l_0,2,10,5,42,3,40.5,0.0
23,exp2_l2l_0,2,10,5,42,4,40.4,0.0
24,exp2_l2l_0,2,10,5,42,5,41.2,0.0
25,exp2_l2l_0,2,10,6,48,1,47.2,0.0
26,exp2_l2l_0,2,10,6,48,2,46.8,0.0
27,exp2_l2l_0,2,10,6,48,3,45.9,0.0
28,exp2_l2l_0,2,10,6,48,4,46.3,0.0
29,exp2_l2l_0,2,10,6,48,5,46.5,0.0
30,exp2_l2l_0,2,10,7,54,1,52.2,1.0
31,exp2_l2l_0,2,10,7,54,2,53.3,1.0
32,exp2_l2l_0,2,10,7,54,3,52.3,1.0
33,exp2_l2l_0,2,10,7,54,4,53.0,1.0
34,exp2_l2l_0,2,10,7,54,5,53.8,1.0
35,exp2_l2l_1,2,10,1,18,1,-1.0,-1.0
36,exp2_l2l_1,2,10,1,18,2,-1.0,-1.0
37,exp2_l2l_1,2,10,1,18,3,-1.0,-1.0
38,exp2_l2l_1,2,10,1,18,4,-1.0,-1.0
39,exp2_l2l_1,2,10,1,18,5,-1.0,-1.0
40,exp2_l2l_1,2,10,2,24,1,23.5,0.0
41,exp2_l2l_1,2,10,2,24,2,23.1,0.0
42,exp2_l2l_1,2,10,2,24,3,23.2,0.0
43,exp2_l2l_1,2,10,2,24,4,21.8,0.0
44,exp2_l2l_1,2,10,2,24,5,21.5,0.0
45,exp2_l2l_1,2,10,3,30,1,29.2,0.0
46,exp2_l2l_1,2,10,3,30,2,29.4,0.0
47,exp2_l2l_1,2,10,3,30,3,29.5,0.0
48,exp2_l2l_1,2,10,3,30,4,29.5,0.0
49,exp2_l2l_1,2,10,3,30,5,29.1,0.0
50,exp2_l2l_1,2,10,4,36,1,35.1,0.0
51,exp2_l2l_1,2,10,4,36,2,34.9,0.0
52,exp2_l2l_1,2,10,4,36,3,35.2,0.0
53,exp2_l2l_1,2,10,4,36,4,36.3,0.0
54,exp2_l2l_1,2,10,4,36,5,36.0,0.0
55,exp2_l2l_1,2,10,5,42,1,42.7,0.0
56,exp2_l2l_1,2,10,5,42,2,40.7,0.0
57,exp2_l2l_1,2,10,5,42,3,41.6,0.0
58,exp2_l2l_1,2,10,5,42,4,42.4,0.0
59,exp2_l2l_1,2,10,5,42,5,41.4,0.0
60,exp2_l2l_1,2,10,6,48,1,48.0,0.0
61,exp2_l2l_1,2,10,6,48,2,47.0,0.0
62,exp2_l2l_1,2,10,6,48,3,46.9,0.0
63,exp2_l2l_1,2,10,6,48,4,48.3,0.0
64,exp2_l2l_1,2,10,6,48,5,48.1,0.0
65,exp2_l2l_1,2,10,7,54,1,53.9,1.0
66,exp2_l2l_1,2,10,7,54,2,54.4,1.0
67,exp2_l2l_1,2,10,7,54,3,53.9,1.0
68,exp2_l2l_1,2,10,7,54,4,57.0,1.0
69,exp2_l2l_1,2,10,7,54,5,54.0,1.0
70,ems_mar21_0,2,12,1,18,1,-1.0,-1.0
71,ems_mar21_0,2,12,1,18,2,-1.0,-1.0
72,ems_mar21_0,2,12,1,18,3,-1.0,-1.0
73,ems_mar21_0,2,12,1,18,4,-1.0,-1.0
74,ems_mar21_0,2,12,1,18,5,-1.0,-1.0
75,ems_mar21_0,2,12,1,18,6,-1.0,-1.0
76,ems_mar21_0,2,12,1,18,7,-1.0,-1.0
77,ems_mar21_0,2,12,1,18,8,-1.0,-1.0
78,ems_mar21_0,2,12,1,18,9,-1.0,-1.0
79,ems_mar21_0,2,12,1,18,10,-1.0,-1.0
80,ems_mar21_0,2,12,2,24,1,23.4,0.0
81,ems_mar21_0,2,12,2,24,2,23.3,0.0
82,ems_mar21_0,2,12,2,24,3,23.5,0.0
83,ems_mar21_0,2,12,2,24,4,23.6,0.0
84,ems_mar21_0,2,12,2,24,5,23.6,0.0
85,ems_mar21_0,2,12,2,24,6,23.7,0.0
86,ems_mar21_0,2,12,2,24,7,23.8,0.0
87,ems_mar21_0,2,12,2,24,8,24.0,0.0
88,ems_mar21_0,2,12,2,24,9,23.9,0.0
89,ems_mar21_0,2,12,2,24,10,24.2,0.0
90,ems_mar21_0,2,12,3,30,1,31.2,0.0
91,ems_mar21_0,2,12,3,30,2,31.2,0.0
92,ems_mar21_0,2,12,3,30,3,31.4,0.0
93,ems_mar21_0,2,12,3,30,4,31.5,0.0
94,ems_mar21_0,2,12,3,30,5,31.5,0.0
95,ems_mar21_0,2,12,3,30,6,31.7,0.0
96,ems_mar21_0,2,12,3,30,7,31.7,0.0
97,ems_mar21_0,2,12,3,30,8,31.7,0.0
98,ems_mar21_0,2,12,3,30,9,31.9,0.0
99,ems_mar21_0,2,12,3,30,10,32.1,0.0
100,ems_mar21_0,2,12,4,36,1,39.1,0.0
101,ems_mar21_0,2,12,4,36,2,39.1,0.0
102,ems_mar21_0,2,12,4,36,3,38.6,0.0
103,ems_mar21_0,2,12,4,36,4,38.6,0.0
104,ems_mar21_0,2,12,4,36,5,38.4,0.0
105,ems_mar21_0,2,12,4,36,6,38.2,0.0
106,ems_mar21_0,2,12,4,36,7,38.6,0.0
107,ems_mar21_0,2,12,4,36,8,38.6,0.0
108,ems_mar21_0,2,12,4,36,9,38.6,0.0
109,ems_mar21_0,2,12,4,36,10,38.6,0.0
110,ems_mar21_0,2,12,5,42,1,46.2,0.0
111,ems_mar21_0,2,12,5,42,2,46.6,0.0
112,ems_mar21_0,2,12,5,42,3,46.0,0.0
113,ems_mar21_0,2,12,5,42,4,45.4,0.0
114,ems_mar21_0,2,12,5,42,5,45.2,0.0
115,ems_mar21_0,2,12,5,42,6,45.3,0.0
116,ems_mar21_0,2,12,5,42,7,45.8,0.0
117,ems_mar21_0,2,12,5,42,8,46.2,0.0
118,ems_mar21_0,2,12,5,42,9,45.6,0.0
119,ems_mar21_0,2,12,5,42,10,46.5,0.0
120,ems_mar21_0,2,12,6,48,1,52.9,1.0
121,ems_mar21_0,2,12,6,48,2,52.0,1.0
122,ems_mar21_0,2,12,6,48,3,51.9,1.0
123,ems_mar21_0,2,12,6,48,4,51.6,1.0
124,ems_mar21_0,2,12,6,48,5,51.3,1.0
125,ems_mar21_0,2,12,6,48,6,52.0,1.0
126,ems_mar21_0,2,12,6,48,7,51.9,1.0
127,ems_mar21_0,2,12,6,48,8,51.6,1.0
128,ems_mar21_0,2,12,6,48,9,53.0,1.0
129,ems_mar21_0,2,12,6,48,10,52.6,1.0
130,ems_mar21_0,2,12,7,54,1,60.7,1.0
131,ems_mar21_0,2,12,7,54,2,59.2,1.0
132,ems_mar21_0,2,12,7,54,3,58.6,1.0
133,ems_mar21_0,2,12,7,54,4,58.8,1.0
134,ems_mar21_0,2,12,7,54,5,59.5,1.0
