run_name,extrusion,layer_height,line,layer_width_intended,replicate,layer_width_measured,over-under
210325_0,2,12,1,18,1,-1,-1
210325_0,2,12,1,18,2,-1,-1
210325_0,2,12,1,18,3,-1,-1
210325_0,2,12,1,18,4,-1,-1
210325_0,2,12,1,18,5,-1,-1
210325_0,2,12,1,18,6,-1,-1
210325_0,2,12,1,18,7,-1,-1
210325_0,2,12,1,18,8,-1,-1
210325_0,2,12,1,18,9,-1,-1
210325_0,2,12,1,18,10,-1,-1
210325_0,2,12,2,24,1,23.4,0
210325_0,2,12,2,24,2,23.3,0
210325_0,2,12,2,24,3,23.5,0
210325_0,2,12,2,24,4,23.6,0
210325_0,2,12,2,24,5,23.6,0
210325_0,2,12,2,24,6,23.7,0
210325_0,2,12,2,24,7,23.8,0
210325_0,2,12,2,24,8,24,0
210325_0,2,12,2,24,9,23.9,0
210325_0,2,12,2,24,10,24.2,0
210325_0,2,12,3,30,1,31.2,0
210325_0,2,12,3,30,2,31.2,0
210325_0,2,12,3,30,3,31.4,0
210325_0,2,12,3,30,4,31.5,0
210325_0,2,12,3,30,5,31.5,0
210325_0,2,12,3,30,6,31.7,0
210325_0,2,12,3,30,7,31.7,0
210325_0,2,12,3,30,8,31.7,0
210325_0,2,12,3,30,9,31.9,0
210325_0,2,12,3,30,10,32.1,0
210325_0,2,12,4,36,1,39.1,0
210325_0,2,12,4,36,2,39.1,0
210325_0,2,12,4,36,3,38.6,0
210325_0,2,12,4,36,4,38.6,0
210325_0,2,12,4,36,5,38.4,0
210325_0,2,12,4,36,6,38.2,0
210325_0,2,12,4,36,7,38.6,0
210325_0,2,12,4,36,8,38.6,0
210325_0,2,12,4,36,9,38.6,0
210325_0,2,12,4,36,10,38.6,0
210325_0,2,12,5,42,1,46.2,0
210325_0,2,12,5,42,2,46.6,0
210325_0,2,12,5,42,3,46,0
210325_0,2,12,5,42,4,45.4,0
210325_0,2,12,5,42,5,45.2,0
210325_0,2,12,5,42,6,45.3,0
210325_0,2,12,5,42,7,45.8,0
210325_0,2,12,5,42,8,46.2,0
210325_0,2,12,5,42,9,45.6,0
210325_0,2,12,5,42,10,46.5,0
210325_0,2,12,6,48,1,52.9,1
210325_0,2,12,6,48,2,52,1
210325_0,2,12,6,48,3,51.9,1
210325_0,2,12,6,48,4,51.6,1
210325_0,2,12,6,48,5,51.3,1
210325_0,2,12,6,48,6,52,1
210325_0,2,12,6,48,7,51.9,1
210325_0,2,12,6,48,8,51.6,1
210325_0,2,12,6,48,9,53,1
210325_0,2,12,6,48,10,52.6,1
210325_0,2,12,7,54,1,60.7,1
210325_0,2,12,7,54,2,59.2,1
210325_0,2,12,7,54,3,58.6,1
210325_0,2,12,7,54,4,58.8,1
210325_0,2,12,7,54,5,59.5,1
210325_0,2,12,7,54,6,60,1
210325_0,2,12,7,54,7,60.6,1
210325_0,2,12,7,54,8,60.3,1
210325_0,2,12,7,54,9,60.5,1
210325_0,2,12,7,54,10,59,1
260325_0,2,12,1,18,1,-1,-1
260325_0,2,12,1,18,2,-1,-1
260325_0,2,12,1,18,3,-1,-1
260325_0,2,12,1,18,4,-1,-1
260325_0,2,12,1,18,5,-1,-1
260325_0,2,12,1,18,6,-1,-1
260325_0,2,12,1,18,7,-1,-1
260325_0,2,12,1,18,8,-1,-1
260325_0,2,12,1,18,9,-1,-1
260325_0,2,12,1,18,10,-1,-1
260325_0,2,12,2,24,1,21.7,0
260325_0,2,12,2,24,2,21.9,0
260325_0,2,12,2,24,3,22.2,0
260325_0,2,12,2,24,4,22.4,0
260325_0,2,12,2,24,5,22.1,0
260325_0,2,12,2,24,6,22.3,0
260325_0,2,12,2,24,7,22.2,0
260325_0,2,12,2,24,8,22.4,0
260325_0,2,12,2,24,9,22.5,0
260325_0,2,12,2,24,10,22.1,0
260325_0,2,12,3,30,1,28,0
260325_0,2,12,3,30,2,28.3,0
260325_0,2,12,3,30,3,28.2,0
260325_0,2,12,3,30,4,27.9,0
260325_0,2,12,3,30,5,28.1,0
260325_0,2,12,3,30,6,28.3,0
260325_0,2,12,3,30,7,28,0
260325_0,2,12,3,30,8,28.3,0
260325_0,2,12,3,30,9,28.3,0
260325_0,2,12,3,30,10,28.4,0
260325_0,2,12,4,36,1,34.5,0
260325_0,2,12,4,36,2,34.8,0
260325_0,2,12,4,36,3,34,0
260325_0,2,12,4,36,4,34.5,0
260325_0,2,12,4,36,5,34.4,0
260325_0,2,12,4,36,6,34.3,0
260325_0,2,12,4,36,7,34.1,0
260325_0,2,12,4,36,8,34.2,0
260325_0,2,12,4,36,9,34.2,0
260325_0,2,12,4,36,10,34.3,0
260325_0,2,12,5,42,1,41.8,0
260325_0,2,12,5,42,2,41.8,0
260325_0,2,12,5,42,3,41,0
260325_0,2,12,5,42,4,40,0
260325_0,2,12,5,42,5,40.9,0
260325_0,2,12,5,42,6,40.4,0
260325_0,2,12,5,42,7,40.5,0
260325_0,2,12,5,42,8,41.2,0
260325_0,2,12,5,42,9,40,0
260325_0,2,12,5,42,10,40.5,0
260325_0,2,12,6,48,1,46.7,0
260325_0,2,12,6,48,2,46,0
260325_0,2,12,6,48,3,46.4,0
260325_0,2,12,6,48,4,46.2,0
260325_0,2,12,6,48,5,45.1,0
260325_0,2,12,6,48,6,45.4,0
260325_0,2,12,6,48,7,45.5,0
260325_0,2,12,6,48,8,46,0
260325_0,2,12,6,48,9,46.1,0
260325_0,2,12,6,48,10,46.1,0
260325_0,2,12,7,54,1,55.8,0
260325_0,2,12,7,54,2,53.1,0
260325_0,2,12,7,54,3,52.9,0
260325_0,2,12,7,54,4,53.2,0
260325_0,2,12,7,54,5,53,0
260325_0,2,12,7,54,6,53.1,0
260325_0,2,12,7,54,7,52.6,0
260325_0,2,12,7,54,8,53.4,0
260325_0,2,12,7,54,9,52.2,0
260325_0,2,12,7,54,10,52.3,0
260325_1,2,12,1,18,1,-1,-1
260325_1,2,12,1,18,2,-1,-1
260325_1,2,12,1,18,3,-1,-1
260325_1,2,12,1,18,4,-1,-1
260325_1,2,12,1,18,5,-1,-1
260325_1,2,12,1,18,6,-1,-1
260325_1,2,12,1,18,7,-1,-1
260325_1,2,12,1,18,8,-1,-1
260325_1,2,12,1,18,9,-1,-1
260325_1,2,12,1,18,10,-1,-1
260325_1,2,12,2,24,1,20,
260325_1,2,12,2,24,2,19.9,
260325_1,2,12,2,24,3,19.7,
260325_1,2,12,2,24,4,19.5,
260325_1,2,12,2,24,5,19.6,
260325_1,2,12,2,24,6,19.5,
260325_1,2,12,2,24,7,19.6,
260325_1,2,12,2,24,8,19.3,
260325_1,2,12,2,24,9,19.4,
260325_1,2,12,2,24,10,19.3,
260325_1,2,12,3,30,1,24.4,
260325_1,2,12,3,30,2,24.4,
260325_1,2,12,3,30,3,23.6,
260325_1,2,12,3,30,4,23.9,
260325_1,2,12,3,30,5,23.8,
260325_1,2,12,3,30,6,24,
260325_1,2,12,3,30,7,23.7,
260325_1,2,12,3,30,8,23.6,
260325_1,2,12,3,30,9,23.7,
260325_1,2,12,3,30,10,23.8,
260325_1,2,12,4,36,1,29.6,
260325_1,2,12,4,36,2,28.8,
260325_1,2,12,4,36,3,28.6,
260325_1,2,12,4,36,4,28.2,
260325_1,2,12,4,36,5,28.3,
260325_1,2,12,4,36,6,28,
260325_1,2,12,4,36,7,27.9,
260325_1,2,12,4,36,8,28,
260325_1,2,12,4,36,9,28.1,
260325_1,2,12,4,36,10,28.2,
260325_1,2,12,5,42,1,33.5,
260325_1,2,12,5,42,2,33.4,
260325_1,2,12,5,42,3,33.2,
260325_1,2,12,5,42,4,32.9,
260325_1,2,12,5,42,5,33.2,
260325_1,2,12,5,42,6,33.6,
260325_1,2,12,5,42,7,33.4,
260325_1,2,12,5,42,8,33.6,
260325_1,2,12,5,42,9,33.5,
260325_1,2,12,5,42,10,33.8,
260325_1,2,12,6,48,1,39.5,
260325_1,2,12,6,48,2,39.3,
260325_1,2,12,6,48,3,39,
260325_1,2,12,6,48,4,39,
260325_1,2,12,6,48,5,38.9,
260325_1,2,12,6,48,6,39.1,
260325_1,2,12,6,48,7,38.6,
260325_1,2,12,6,48,8,38.2,
260325_1,2,12,6,48,9,37.6,
260325_1,2,12,6,48,10,37.7,
260325_1,2,12,7,54,1,44.7,
260325_1,2,12,7,54,2,43.4,
260325_1,2,12,7,54,3,43.4,
260325_1,2,12,7,54,4,43.4,
260325_1,2,12,7,54,5,43.1,
260325_1,2,12,7,54,6,43.2,
260325_1,2,12,7,54,7,42.8,
260325_1,2,12,7,54,8,43.5,
260325_1,2,12,7,54,9,43.5,
260325_1,2,12,7,54,10,42.8,
