speed,extrusion,layer_height,layer_width
80,5,5,52.05
80,5,5,50.5
80,5,5,57.78
100,5,5,57.16
100,5,5,48.0
100,5,5,45.01
120,5,5,43.18
120,5,5,45.13
120,5,5,41.51
140,5,5,35.96
140,5,5,32.18
140,5,5,42.16
160,5,5,30.91
160,5,5,32.84
160,5,5,36.79
180,5,5,35.68
180,5,5,35.8
180,5,5,36.45
200,5,5,30.16
200,5,5,29.7
200,5,5,30.44
220,5,5,27.68
220,5,5,27.12
220,5,5,27.81
240,5,5,26.24
240,5,5,26.78
240,5,5,27.12
260,5,5,24.61
260,5,5,24.45
260,5,5,24.32
280,5,5,22.81
280,5,5,23.22
280,5,5,22.66
300,5,5,21.32
300,5,5,20.64
300,5,5,20.53
320,5,5,19.96
320,5,5,21.35
320,5,5,20.96
340,5,5,20.55
340,5,5,20.47
340,5,5,19.03
360,5,5,20.34
360,5,5,20.32
360,5,5,19.11
120,10,5,55.91
120,10,5,55.07
120,10,5,57.44
140,10,5,49.98
140,10,5,50.1
140,10,5,50.46
160,10,5,50.36
160,10,5,53.37
160,10,5,52.24
180,10,5,47.33
180,10,5,46.29
180,10,5,46.5
200,10,5,48.01
200,10,5,33.55
200,10,5,46.78
220,10,5,33.08
220,10,5,37.58
220,10,5,41.48
240,10,5,41.47
240,10,5,40.34
240,10,5,43.03
260,10,5,35.78
260,10,5,38.32
260,10,5,35.16
280,10,5,35.9
280,10,5,34.12
280,10,5,35.49
300,10,5,32.62
300,10,5,33.24
300,10,5,33.31
320,10,5,31.53
320,10,5,30.85
320,10,5,31.59
340,10,5,30.87
340,10,5,30.92
340,10,5,30.9
360,10,5,29.13
360,10,5,28.81
360,10,5,29.54
20,5,8,92.0
20,5,8,92.0
20,5,8,83.0
40,5,8,64.0
40,5,8,59.0
40,5,8,63.0
60,5,8,52.5
60,5,8,51.1
60,5,8,55.1
80,5,8,46.1
80,5,8,49.0
80,5,8,48.5
100,5,8,39.8
100,5,8,40.0
100,5,8,40.5
120,5,8,33.5
120,5,8,33.6
120,5,8,33.4
140,5,8,30.0
140,5,8,30.0
140,5,8,29.6
160,5,8,26.6
160,5,8,26.0
160,5,8,26.5
180,5,8,24.7
180,5,8,25.0
180,5,8,24.4
200,5,8,24.0
200,5,8,25.9
200,5,8,23.5
220,5,8,20.5
220,5,8,20.0
220,5,8,22.5
240,5,8,20.0
240,5,8,20.8
240,5,8,20.2
260,5,8,18.7
260,5,8,18.0
260,5,8,18.6
280,5,8,19.0
280,5,8,18.2
280,5,8,17.0
300,5,8,16.5
300,5,8,15.9
300,5,8,17.0
320,5,8,19.0
320,5,8,18.1
320,5,8,16.9
340,5,8,15.0
360,5,8,15.5
360,5,8,15.1
20,10,8,142.5
20,10,8,138.0
20,10,8,137.5
40,10,8,129.0
40,10,8,124.0
40,10,8,122.4
60,10,8,86.9
60,10,8,91.0
60,10,8,99.0
80,10,8,75.0
80,10,8,84.0
80,10,8,76.0
100,10,8,55.9
100,10,8,57.0
100,10,8,61.0
120,10,8,50.8
120,10,8,48.0
120,10,8,47.0
140,10,8,46.0
140,10,8,45.8
140,10,8,44.9
160,10,8,43.0
160,10,8,42.0
160,10,8,41.1
180,10,8,38.0
180,10,8,37.5
180,10,8,37.0
200,10,8,34.2
200,10,8,33.1
200,10,8,33.0
220,10,8,29.9
220,10,8,30.9
220,10,8,31.3
240,10,8,27.0
240,10,8,28.5
240,10,8,28.9
260,10,8,24.8
260,10,8,24.0
260,10,8,24.0
280,10,8,26.0
280,10,8,24.3
280,10,8,24.6
300,10,8,22.3
300,10,8,23.0
300,10,8,24.0
320,10,8,22.9
320,10,8,22.0
320,10,8,22.6
340,10,8,20.9
340,10,8,21.3
340,10,8,22.0
360,10,8,18.0
360,10,8,20.0
360,10,8,19.0
20,5,12,89.8
20,5,12,86.5
20,5,12,94.4
40,5,12,71.72
40,5,12,61.78
40,5,12,67.8
60,5,12,50.66
60,5,12,49.56
60,5,12,51.18
80,5,12,38.23
80,5,12,48.8
80,5,12,39.95
100,5,12,31.34
100,5,12,32.59
100,5,12,32.87
120,5,12,27.0
120,5,12,26.82
120,5,12,26.24
140,5,12,22.42
140,5,12,22.31
140,5,12,24.32
160,5,12,20.81
160,5,12,20.99
160,5,12,20.91
180,5,12,20.67
180,5,12,20.36
180,5,12,19.26
220,5,12,16.81
220,5,12,17.03
220,5,12,16.49
260,5,12,14.62
260,5,12,15.47
260,5,12,14.85
340,5,12,17.27
360,5,12,13.91
360,5,12,13.39
20,10,12,94.75
20,10,12,96.22
20,10,12,98.52
40,10,12,82.33
40,10,12,82.24
40,10,12,75.32
60,10,12,57.47
60,10,12,57.79
60,10,12,61.9
80,10,12,54.55
80,10,12,56.65
80,10,12,58.27
100,10,12,44.72
100,10,12,45.1
100,10,12,44.36
120,10,12,40.56
120,10,12,39.72
120,10,12,39.52
140,10,12,33.26
140,10,12,33.75
140,10,12,32.56
160,10,12,30.63
160,10,12,30.48
160,10,12,31.8
180,10,12,26.45
180,10,12,26.05
180,10,12,26.86
200,10,12,25.86
200,10,12,24.9
200,10,12,25.4
220,10,12,22.05
220,10,12,22.94
220,10,12,22.77
240,10,12,20.42
240,10,12,21.72
240,10,12,20.6
260,10,12,20.0
260,10,12,20.0
260,10,12,20.54
20,5,15,109.7
20,5,15,98.6
20,5,15,100.2
40,5,15,58.3
40,5,15,56.1
40,5,15,60.0
60,5,15,46.3
60,5,15,43.1
60,5,15,44.7
80,5,15,34.55
80,5,15,32.6
80,5,15,34.1
100,5,15,27.7
100,5,15,27.5
100,5,15,28.5
120,5,15,21.8
120,5,15,22.7
120,5,15,22.55
140,5,15,20.0
140,5,15,20.65
140,5,15,19.65
160,5,15,18.3
160,5,15,18.05
160,5,15,17.4
180,5,15,16.85
180,5,15,17.2
180,5,15,17.5
20,10,15,127.8
20,10,15,133.3
20,10,15,126.9
40,10,15,77.5
40,10,15,76.6
40,10,15,79.7
60,10,15,62.9
60,10,15,61.6
60,10,15,60.8
80,10,15,47.8
80,10,15,48.3
80,10,15,49.9
100,10,15,39.8
100,10,15,39.0
100,10,15,41.1
120,10,15,34.15
120,10,15,34.65
120,10,15,36.1
140,10,15,29.0
140,10,15,29.1
140,10,15,29.45
160,10,15,26.7
160,10,15,25.5
160,10,15,25.2
180,10,15,22.7
180,10,15,23.1
180,10,15,23.35
