layer_height,extrusion,speed,layer_width,over-under
8,2,80,49.0,1
8,2,80,48.3,1
8,2,80,48.4,1
8,2,80,48.8,1
8,2,80,48.4,1
8,2,100,38.9,0
8,2,100,39.4,0
8,2,100,38.7,0
8,2,100,39.8,0
8,2,100,39.0,0
8,2,120,33.5,0
8,2,120,33.0,0
8,2,120,32.8,0
8,2,120,33.1,0
8,2,120,33.3,0
8,2,140,28.0,0
8,2,140,27.9,0
8,2,140,28.2,0
8,2,140,28.3,0
8,2,140,28.3,0
8,2,160,25.0,0
8,2,160,24.8,0
8,2,160,25.5,0
8,2,160,24.8,0
8,2,160,25.6,0
8,2,180,22.2,0
8,2,180,22.4,0
8,2,180,22.4,0
8,2,180,22.9,0
8,2,180,23.0,0
8,2,200,21.0,0
8,2,200,20.5,0
8,2,200,21.2,0
8,2,200,21.5,0
8,2,200,21.3,0
8,2,220,19.4,0
8,2,220,19.2,0
8,2,220,19.7,0
8,2,220,19.7,0
8,2,220,19.4,0
8,2,240,18.8,0
8,2,240,18.2,0
8,2,240,18.4,0
8,2,240,18.5,0
8,2,240,18.4,0
8,2,260,17.7,-1
8,2,260,17.5,-1
8,2,260,17.0,-1
8,2,260,17.6,-1
8,2,260,17.3,-1
8,2,280,16.4,-1
8,2,280,16.8,-1
8,2,280,16.4,-1
8,2,280,16.6,-1
8,2,280,16.2,-1
10,2,60,49.3,1
10,2,60,47.7,1
10,2,60,49.6,1
10,2,60,46.6,1
10,2,60,48.8,1
10,2,80,38.6,0
10,2,80,37.6,0
10,2,80,38.7,0
10,2,80,38.4,0
10,2,80,38.5,0
10,2,100,30.4,0
10,2,100,29.3,0
10,2,100,31.4,0
10,2,100,31.6,0
10,2,100,28.7,0
10,2,120,27.2,0
10,2,120,27.5,0
10,2,120,27.4,0
10,2,120,27.5,0
10,2,120,27.2,0
10,2,140,24.1,0
10,2,140,23.6,0
10,2,140,24.2,0
10,2,140,24.4,0
10,2,140,23.6,0
10,2,160,21.3,0
10,2,160,22.0,0
10,2,160,22.1,0
10,2,160,21.2,0
10,2,160,21.4,0
10,2,180,18.9,0
10,2,180,18.3,0
10,2,180,18.2,0
10,2,180,19.1,0
10,2,180,18.8,0
10,2,200,17.7,0
10,2,200,17.7,0
10,2,200,18.0,0
10,2,200,17.9,0
10,2,200,17.6,0
10,2,220,17.1,-1
10,2,220,16.5,-1
10,2,220,16.7,-1
10,2,220,17.1,-1
10,2,220,16.9,-1
12,2,60,41.8,0
12,2,60,44.0,0
12,2,60,42.8,0
12,2,60,44.4,0
12,2,60,43.6,0
12,2,80,32.6,0
12,2,80,33.4,0
12,2,80,33.8,0
12,2,80,34.0,0
12,2,80,33.1,0
12,2,100,26.9,0
12,2,100,27.3,0
12,2,100,26.0,0
12,2,100,26.8,0
12,2,100,27.3,0
12,2,120,23.1,0
12,2,120,23.2,0
12,2,120,23.4,0
12,2,120,22.9,0
12,2,120,23.0,0
12,2,140,20.7,0
12,2,140,20.8,0
12,2,140,20.3,0
12,2,140,20.3,0
12,2,140,20.8,0
12,2,160,18.9,0
12,2,160,19.1,0
12,2,160,19.4,0
12,2,160,19.3,0
12,2,160,19.4,0
12,2,180,18.2,0
12,2,180,16.7,0
12,2,180,17.2,0
12,2,180,17.2,0
12,2,180,18.5,0
12,2,200,16.8,0
12,2,200,16.9,0
12,2,200,16.2,0
12,2,200,16.2,0
12,2,200,16.5,0
15,2,40,53.2,1
15,2,40,51.2,1
15,2,40,53.5,1
15,2,40,50.7,1
15,2,40,48.6,1
15,2,60,36.3,0
15,2,60,36.5,0
15,2,60,36.7,0
15,2,60,37.0,0
15,2,60,36.1,0
15,2,80,28.6,0
15,2,80,28.2,0
15,2,80,28.4,0
15,2,80,28.3,0
15,2,80,28.8,0
15,2,100,23.2,0
15,2,100,23.0,0
15,2,100,23.0,0
15,2,100,23.6,0
15,2,100,23.2,0
15,2,120,20.3,0
15,2,120,20.3,0
15,2,120,20.2,0
15,2,120,20.6,0
15,2,120,20.5,0
15,2,140,18.6,0
15,2,140,18.5,0
15,2,140,18.3,0
15,2,140,18.3,0
15,2,140,18.1,0
18,2,40,38.3,0
18,2,40,40.6,0
18,2,40,42.5,0
18,2,40,38.6,0
18,2,40,39.6,0
18,2,60,29.1,0
18,2,60,28.4,0
18,2,60,28.7,0
18,2,60,28.9,0
18,2,60,29.4,0
18,2,80,23.1,0
18,2,80,23.4,0
18,2,80,23.0,0
18,2,80,23.4,0
18,2,80,23.4,0
18,2,100,20.6,0
18,2,100,20.6,0
18,2,100,20.6,0
18,2,100,20.7,0
18,2,100,20.7,0
18,2,120,18.5,0
18,2,120,18.5,0
18,2,120,18.6,0
18,2,120,18.5,0
18,2,120,18.4,0
5,3,140,61.1,1
