pallet,layer_height,extrusion,run,speed,replicate,layer_width,over-under
SB,8,2,1,40,1,-1,1
SB,8,2,1,40,2,-1,1
SB,8,2,1,40,3,-1,1
SB,8,2,1,40,4,-1,1
SB,8,2,1,40,5,-1,1
SB,8,2,2,60,1,-1,1
SB,8,2,2,60,2,-1,1
SB,8,2,2,60,3,-1,1
SB,8,2,2,60,4,-1,1
SB,8,2,2,60,5,-1,1
SB,8,2,3,80,1,49,1
SB,8,2,3,80,2,48.3,1
SB,8,2,3,80,3,48.4,1
SB,8,2,3,80,4,48.8,1
SB,8,2,3,80,5,48.4,1
SB,8,2,4,100,1,38.9,0
SB,8,2,4,100,2,39.4,0
SB,8,2,4,100,3,38.7,0
SB,8,2,4,100,4,39.8,0
SB,8,2,4,100,5,39,0
SB,8,2,5,120,1,33.5,0
SB,8,2,5,120,2,33,0
SB,8,2,5,120,3,32.8,0
SB,8,2,5,120,4,33.1,0
SB,8,2,5,120,5,33.3,0
SB,8,2,6,140,1,28,0
SB,8,2,6,140,2,27.9,0
SB,8,2,6,140,3,28.2,0
SB,8,2,6,140,4,28.3,0
SB,8,2,6,140,5,28.3,0
SB,8,2,7,160,1,25,0
SB,8,2,7,160,2,24.8,0
SB,8,2,7,160,3,25.5,0
SB,8,2,7,160,4,24.8,0
SB,8,2,7,160,5,25.6,0
SB,8,2,8,180,1,22.2,0
SB,8,2,8,180,2,22.4,0
SB,8,2,8,180,3,22.4,0
SB,8,2,8,180,4,22.9,0
SB,8,2,8,180,5,23,0
SB,8,2,9,200,1,21,0
SB,8,2,9,200,2,20.5,0
SB,8,2,9,200,3,21.2,0
SB,8,2,9,200,4,21.5,0
SB,8,2,9,200,5,21.3,0
SB,8,2,10,220,1,19.4,0
SB,8,2,10,220,2,19.2,0
SB,8,2,10,220,3,19.7,0
SB,8,2,10,220,4,19.7,0
SB,8,2,10,220,5,19.4,0
SB,8,2,11,240,1,18.8,0
SB,8,2,11,240,2,18.2,0
SB,8,2,11,240,3,18.4,0
SB,8,2,11,240,4,18.5,0
SB,8,2,11,240,5,18.4,0
SB,8,2,12,260,1,17.7,-1
SB,8,2,12,260,2,17.5,-1
SB,8,2,12,260,3,17,-1
SB,8,2,12,260,4,17.6,-1
SB,8,2,12,260,5,17.3,-1
SB,8,2,13,280,1,16.4,-1
SB,8,2,13,280,2,16.8,-1
SB,8,2,13,280,3,16.4,-1
SB,8,2,13,280,4,16.6,-1
SB,8,2,13,280,5,16.2,-1
SB,8,2,14,300,1,-1,-1
SB,8,2,14,300,2,-1,-1
SB,8,2,14,300,3,-1,-1
SB,8,2,14,300,4,-1,-1
SB,8,2,14,300,5,-1,-1
SB,8,2,15,320,1,-1,-1
SB,8,2,15,320,2,-1,-1
SB,8,2,15,320,3,-1,-1
SB,8,2,15,320,4,-1,-1
SB,8,2,15,320,5,-1,-1
SB,8,2,16,340,1,-1,-1
SB,8,2,16,340,2,-1,-1
SB,8,2,16,340,3,-1,-1
SB,8,2,16,340,4,-1,-1
SB,8,2,16,340,5,-1,-1
SB,8,2,17,360,1,-1,-1
SB,8,2,17,360,2,-1,-1
SB,8,2,17,360,3,-1,-1
SB,8,2,17,360,4,-1,-1
SB,8,2,17,360,5,-1,-1
SB,8,2,18,380,1,-1,-1
SB,8,2,18,380,2,-1,-1
SB,8,2,18,380,3,-1,-1
SB,8,2,18,380,4,-1,-1
SB,8,2,18,380,5,-1,-1
SB,8,2,19,400,1,-1,-1
SB,8,2,19,400,2,-1,-1
SB,8,2,19,400,3,-1,-1
SB,8,2,19,400,4,-1,-1
SB,8,2,19,400,5,-1,-1
L1L,10,2,1,40,1,-1,1
L1L,10,2,1,40,2,-1,1
L1L,10,2,1,40,3,-1,1
L1L,10,2,1,40,4,-1,1
L1L,10,2,1,40,5,-1,1
L1L,10,2,2,60,1,49.3,1
L1L,10,2,2,60,2,47.7,1
L1L,10,2,2,60,3,49.6,1
L1L,10,2,2,60,4,46.6,1
L1L,10,2,2,60,5,48.8,1
L1L,10,2,3,80,1,38.6,0
L1L,10,2,3,80,2,37.6,0
L1L,10,2,3,80,3,38.7,0
L1L,10,2,3,80,4,38.4,0
L1L,10,2,3,80,5,38.5,0
L1L,10,2,4,100,1,30.4,0
L1L,10,2,4,100,2,29.3,0
L1L,10,2,4,100,3,31.4,0
L1L,10,2,4,100,4,31.6,0
L1L,10,2,4,100,5,28.7,0
L1L,10,2,5,120,1,27.2,0
L1L,10,2,5,120,2,27.5,0
L1L,10,2,5,120,3,27.4,0
L1L,10,2,5,120,4,27.5,0
L1L,10,2,5,120,5,27.2,0
L1L,10,2,6,140,1,24.1,0
L1L,10,2,6,140,2,23.6,0
L1L,10,2,6,140,3,24.2,0
L1L,10,2,6,140,4,24.4,0
L1L,10,2,6,140,5,23.6,0
L1L,10,2,7,160,1,21.3,0
L1L,10,2,7,160,2,22,0
L1L,10,2,7,160,3,22.1,0
L1L,10,2,7,160,4,21.2,0
L1L,10,2,7,160,5,21.4,0
L1L,10,2,8,180,1,18.9,0
L1L,10,2,8,180,2,18.3,0
L1L,10,2,8,180,3,18.2,0
L1L,10,2,8,180,4,19.1,0
L1L,10,2,8,180,5,18.8,0
L1L,10,2,9,200,1,17.7,0
L1L,10,2,9,200,2,17.7,0
L1L,10,2,9,200,3,18,0
L1L,10,2,9,200,4,17.9,0
L1L,10,2,9,200,5,17.6,0
L1L,10,2,10,220,1,17.1,-1
L1L,10,2,10,220,2,16.5,-1
L1L,10,2,10,220,3,16.7,-1
L1L,10,2,10,220,4,17.1,-1
