run_order,replicate,pressure,nozzle_diameter,robot_speed,do,extrusion_speed,slice_height,layer_height,layer_width,success
1,1,50,8,8,12,7.2,5,6.7,12.33,True
1,2,50,8,8,12,7.2,5,6.88,11.71,True
1,3,50,8,8,12,7.2,5,6.12,11.3,True
1,4,50,8,8,12,7.2,5,6.81,11.33,True
1,5,50,8,8,12,7.2,5,7.81,10.08,True
1,6,50,8,8,12,7.2,5,6.63,10.34,True
1,7,50,8,8,12,7.2,5,7.12,12.43,True
1,8,50,8,8,12,7.2,5,7.11,10.91,True
1,9,50,8,8,12,7.2,5,6.55,11.78,True
1,10,50,8,8,12,7.2,5,6.07,10.26,True
1,11,50,8,8,12,7.2,5,7.36,12.21,True
1,12,50,8,8,12,7.2,5,7.17,12.72,True
2,1,50,8,8,16,7.6,5,6.82,11.09,True
2,2,50,8,8,16,7.6,5,6.43,11.84,True
2,3,50,8,8,16,7.6,5,6.74,12.31,True
2,4,50,8,8,16,7.6,5,6.94,11.67,True
2,5,50,8,8,16,7.6,5,6.98,10.02,True
2,6,50,8,8,16,7.6,5,6.16,12.01,True
2,7,50,8,8,16,7.6,5,6.66,12.28,True
2,8,50,8,8,16,7.6,5,6.43,12.57,True
2,9,50,8,8,16,7.6,5,6.1,11.81,True
2,10,50,8,8,16,7.6,5,5.94,12.32,True
2,11,50,8,8,16,7.6,5,6.26,11.75,True
2,12,50,8,8,16,7.6,5,6.15,11.71,True
3,1,50,8,8,20,8.0,5,6.13,11.85,True
3,2,50,8,8,20,8.0,5,6.25,11.18,True
3,3,50,8,8,20,8.0,5,6.06,13.3,True
3,4,50,8,8,20,8.0,5,6.24,12.28,True
3,5,50,8,8,20,8.0,5,6.71,11.94,True
3,6,50,8,8,20,8.0,5,6.36,11.25,True
3,7,50,8,8,20,8.0,5,6.32,11.56,True
3,8,50,8,8,20,8.0,5,6.39,12.49,True
3,9,50,8,8,20,8.0,5,6.59,11.06,True
3,10,50,8,8,20,8.0,5,6.86,12.46,True
3,11,50,8,8,20,8.0,5,6.5,12.37,True
3,12,50,8,8,20,8.0,5,6.84,13.12,True
4,1,50,8,8,24,8.4,5,6.4,12.77,True
4,2,50,8,8,24,8.4,5,6.44,12.13,True
4,3,50,8,8,24,8.4,5,6.11,12.49,True
4,4,50,8,8,24,8.4,5,5.72,12.8,True
4,5,50,8,8,24,8.4,5,6.1,11.66,True
4,6,50,8,8,24,8.4,5,5.93,12.77,True
4,7,50,8,8,24,8.4,5,6.24,12.49,True
4,8,50,8,8,24,8.4,5,5.65,11.48,True
4,9,50,8,8,24,8.4,5,5.86,14.06,True
4,10,50,8,8,24,8.4,5,5.87,12.8,True
4,11,50,8,8,24,8.4,5,5.96,14.51,True
4,12,50,8,8,24,8.4,5,5.19,13.43,True
5,1,50,8,8,28,8.8,5,6.4,13.06,True
5,2,50,8,8,28,8.8,5,6.4,13.23,True
5,3,50,8,8,28,8.8,5,6.39,13.41,True
5,4,50,8,8,28,8.8,5,6.37,13.2,True
5,5,50,8,8,28,8.8,5,6.36,13.87,True
5,6,50,8,8,28,8.8,5,6.41,13.93,True
5,7,50,8,8,28,8.8,5,6.39,12.56,True
5,8,50,8,8,28,8.8,5,6.11,13.1,True
5,9,50,8,8,28,8.8,5,6.28,12.18,True
5,10,50,8,8,28,8.8,5,6.42,14.14,True
5,11,50,8,8,28,8.8,5,6.05,11.51,True
5,12,50,8,8,28,8.8,5,6.27,13.35,True
6,1,50,8,8,32,9.2,5,7.03,13.09,True
6,2,50,8,8,32,9.2,5,6.72,13.15,True
6,3,50,8,8,32,9.2,5,6.46,13.25,True
6,4,50,8,8,32,9.2,5,6.85,13.22,True
6,5,50,8,8,32,9.2,5,6.91,13.55,True
6,6,50,8,8,32,9.2,5,6.32,13.46,True
6,7,50,8,8,32,9.2,5,6.25,13.35,True
6,8,50,8,8,32,9.2,5,6.37,14.2,True
6,9,50,8,8,32,9.2,5,6.05,14.0,True
6,10,50,8,8,32,9.2,5,6.73,13.49,True
6,11,50,8,8,32,9.2,5,6.73,13.05,True
6,12,50,8,8,32,9.2,5,6.72,12.69,True
7,1,50,8,8,36,9.6,5,6.25,13.39,True
7,2,50,8,8,36,9.6,5,6.59,13.48,True
7,3,50,8,8,36,9.6,5,6.25,13.84,True
7,4,50,8,8,36,9.6,5,6.25,13.76,True
7,5,50,8,8,36,9.6,5,6.14,14.05,True
7,6,50,8,8,36,9.6,5,6.01,13.49,True
7,7,50,8,8,36,9.6,5,6.02,13.11,True
7,8,50,8,8,36,9.6,5,6.1,14.43,True
7,9,50,8,8,36,9.6,5,6.02,14.0,True
7,10,50,8,8,36,9.6,5,6.08,13.97,True
7,11,50,8,8,36,9.6,5,5.99,13.48,True
7,12,50,8,8,36,9.6,5,6.03,13.5,True
8,1,50,8,12,24,8.4,5,6.17,8.66,True
8,2,50,8,12,24,8.4,5,6.04,8.72,True
8,3,50,8,12,24,8.4,5,6.27,9.8,True
8,4,50,8,12,24,8.4,5,6.06,9.28,True
8,5,50,8,12,24,8.4,5,6.05,8.38,True
8,6,50,8,12,24,8.4,5,6.09,9.58,True
8,7,50,8,12,24,8.4,5,5.43,9.83,True
8,8,50,8,12,24,8.4,5,5.98,9.5,True
8,9,50,8,12,24,8.4,5,5.75,9.5,True
8,10,50,8,12,24,8.4,5,5.95,9.13,True
8,11,50,8,12,24,8.4,5,5.87,9.36,True
8,12,50,8,12,24,8.4,5,6.24,9.22,True
9,1,50,8,12,28,8.8,5,5.48,10.44,True
9,2,50,8,12,28,8.8,5,5.48,9.1,True
9,3,50,8,12,28,8.8,5,5.82,9.69,True
9,4,50,8,12,28,8.8,5,5.42,9.73,True
9,5,50,8,12,28,8.8,5,5.87,9.62,True
9,6,50,8,12,28,8.8,5,5.68,9.68,True
9,7,50,8,12,28,8.8,5,5.24,8.9,True
9,8,50,8,12,28,8.8,5,5.73,8.93,True
9,9,50,8,12,28,8.8,5,5.73,9.25,True
9,10,50,8,12,28,8.8,5,5.7,9.55,True
9,11,50,8,12,28,8.8,5,5.87,9.45,True
9,12,50,8,12,28,8.8,5,5.96,9.22,True
10,1,50,8,12,32,9.2,5,5.78,9.76,True
10,2,50,8,12,32,9.2,5,5.9,9.34,True
10,3,50,8,12,32,9.2,5,5.76,9.58,True
10,4,50,8,12,32,9.2,5,5.76,8.99,True
10,5,50,8,12,32,9.2,5,5.62,9.55,True
10,6,50,8,12,32,9.2,5,5.73,8.23,True
10,7,50,8,12,32,9.2,5,5.9,9.83,True
10,8,50,8,12,32,9.2,5,5.86,9.41,True
10,9,50,8,12,32,9.2,5,5.85,9.97,True
10,10,50,8,12,32,9.2,5,5.72,9.53,True
10,11,50,8,12,32,9.2,5,5.11,9.36,True
10,12,50,8,12,32,9.2,5,5.44,9.8,True
11,1,50,8,12,36,9.6,5,5.5,11.78,True
11,2,50,8,12,36,9.6,5,5.81,10.58,True
11,3,50,8,12,36,9.6,5,5.93,11.11,True
11,4,50,8,12,36,9.6,5,5.85,11.17,True
11,5,50,8,12,36,9.6,5,5.94,11.27,True
11,6,50,8,12,36,9.6,5,5.72,11.7,True
11,7,50,8,12,36,9.6,5,5.86,11.64,True
11,8,50,8,12,36,9.6,5,6.1,11.9,True
11,9,50,8,12,36,9.6,5,5.95,10.68,True
11,10,50,8,12,36,9.6,5,5.95,10.39,True
11,11,50,8,12,36,9.6,5,5.99,10.38,True
11,12,50,8,12,36,9.6,5,5.81,10.36,True
12,1,50,8,12,40,10.0,5,5.42,10.4,True
12,2,50,8,12,40,10.0,5,5.23,11.26,True
12,3,50,8,12,40,10.0,5,5.34,10.72,True
12,4,50,8,12,40,10.0,5,5.89,11.07,True
12,5,50,8,12,40,10.0,5,5.21,10.63,True
12,6,50,8,12,40,10.0,5,5.21,10.48,True
12,7,50,8,12,40,10.0,5,5.57,10.23,True
12,8,50,8,12,40,10.0,5,5.5,10.58,True
12,9,50,8,12,40,10.0,5,5.44,10.6,True
12,10,50,8,12,40,10.0,5,5.49,10.61,True
12,11,50,8,12,40,10.0,5,5.02,10.81,True
12,12,50,8,12,40,10.0,5,5.2,10.65,True
13,1,50,8,12,44,10.4,5,6.09,11.03,True
13,2,50,8,12,44,10.4,5,6.03,11.28,True
13,3,50,8,12,44,10.4,5,6.04,11.18,True
13,4,50,8,12,44,10.4,5,6.17,11.2,True
13,5,50,8,12,44,10.4,5,5.99,11.48,True
13,6,50,8,12,44,10.4,5,6.09,11.49,True
13,7,50,8,12,44,10.4,5,6.13,11.73,True
13,8,50,8,12,44,10.4,5,6.07,11.03,True
13,9,50,8,12,44,10.4,5,6.15,11.35,True
13,10,50,8,12,44,10.4,5,6.19,11.5,True
13,11,50,8,12,44,10.4,5,6.24,11.28,True
13,12,50,8,12,44,10.4,5,6.11,11.39,True
14,1,50,8,12,48,10.8,5,5.32,10.79,True
14,2,50,8,12,48,10.8,5,5.18,10.26,True
14,3,50,8,12,48,10.8,5,5.13,10.7,True
14,4,50,8,12,48,10.8,5,5.17,10.96,True
14,5,50,8,12,48,10.8,5,5.3,10.13,True
14,6,50,8,12,48,10.8,5,5.21,10.3,True
14,7,50,8,12,48,10.8,5,5.3,10.55,True
14,8,50,8,12,48,10.8,5,5.21,10.71,True
14,9,50,8,12,48,10.8,5,5.3,10.41,True
14,10,50,8,12,48,10.8,5,5.38,10.61,True
14,11,50,8,12,48,10.8,5,5.18,10.68,True
14,12,50,8,12,48,10.8,5,5.48,10.34,True
15,1,50,8,16,36,9.6,5,5.54,8.55,True
15,2,50,8,16,36,9.6,5,5.03,8.55,True
15,3,50,8,16,36,9.6,5,5.04,8.24,True
15,4,50,8,16,36,9.6,5,5.3,8.3,True
