pallet,extrusion,layer_height,nn-formula,line,layer_width_intended,replicate,layer_width_measured,over-under
SA1,02,05,00,01,18,01,-1,-1
SA1,02,05,00,01,18,02,-1,-1
SA1,02,05,00,01,18,03,-1,-1
SA1,02,05,00,01,18,04,-1,-1
SA1,02,05,00,01,18,05,-1,-1
SA1,02,05,00,02,24,01,20.5,-1
SA1,02,05,00,02,24,02,19.7,-1
SA1,02,05,00,02,24,03,20.7,-1
SA1,02,05,00,02,24,04,21.8,-1
SA1,02,05,00,02,24,05,22.7,-1
SA1,02,05,00,03,30,01,30.7,0
SA1,02,05,00,03,30,02,31.3,0
SA1,02,05,00,03,30,03,31.3,0
SA1,02,05,00,03,30,04,31,0
SA1,02,05,00,03,30,05,30.8,0
SA1,02,05,00,04,36,01,37.2,0
SA1,02,05,00,04,36,02,37.3,0
SA1,02,05,00,04,36,03,37,0
SA1,02,05,00,04,36,04,37.1,0
SA1,02,05,00,04,36,05,37.6,0
SA1,02,05,00,05,42,01,42.9,1
SA1,02,05,00,05,42,02,43.8,1
SA1,02,05,00,05,42,03,43.6,1
SA1,02,05,00,05,42,04,44,1
SA1,02,05,00,05,42,05,43.1,1
SA1,02,05,00,06,48,01,53,1
SA1,02,05,00,06,48,02,52.1,1
SA1,02,05,00,06,48,03,50.1,1
SA1,02,05,00,06,48,04,53.7,1
SA1,02,05,00,06,48,05,49.6,1
SA1,02,05,00,07,54,01,57.1,1
SA1,02,05,00,07,54,02,56.6,1
SA1,02,05,00,07,54,03,55.5,1
SA1,02,05,00,07,54,04,56.4,1
SA1,02,05,00,07,54,05,56.7,1
SA1,02,05,01,01,18,01,-1,-1
SA1,02,05,01,01,18,02,-1,-1
SA1,02,05,01,01,18,03,-1,-1
SA1,02,05,01,01,18,04,-1,-1
SA1,02,05,01,01,18,05,-1,-1
SA1,02,05,01,02,24,01,21.3,-1
SA1,02,05,01,02,24,02,21.7,-1
SA1,02,05,01,02,24,03,22.5,-1
SA1,02,05,01,02,24,04,23,-1
SA1,02,05,01,02,24,05,23.4,-1
SA1,02,05,01,03,30,01,32.6,0
SA1,02,05,01,03,30,02,31.4,0
SA1,02,05,01,03,30,03,31.1,0
SA1,02,05,01,03,30,04,30.7,0
SA1,02,05,01,03,30,05,30.3,0
SA1,02,05,01,04,36,01,38.4,0
SA1,02,05,01,04,36,02,37.5,0
SA1,02,05,01,04,36,03,37.2,0
SA1,02,05,01,04,36,04,37.3,0
SA1,02,05,01,04,36,05,37.7,0
SA1,02,05,01,05,42,01,43.9,1
SA1,02,05,01,05,42,02,45.7,1
SA1,02,05,01,05,42,03,45.3,1
SA1,02,05,01,05,42,04,46.4,1
SA1,02,05,01,05,42,05,46.1,1
SA1,02,05,01,06,48,01,51.1,1
SA1,02,05,01,06,48,02,49.3,1
SA1,02,05,01,06,48,03,50.2,1
SA1,02,05,01,06,48,04,49.5,1
SA1,02,05,01,06,48,05,50,1
SA1,02,05,01,07,54,01,58,1
SA1,02,05,01,07,54,02,57.3,1
SA1,02,05,01,07,54,03,54.6,1
SA1,02,05,01,07,54,04,54,1
SA1,02,05,01,07,54,05,54.7,1
SB,02,08,00,01,18,01,-1,-1
SB,02,08,00,01,18,02,-1,-1
SB,02,08,00,01,18,03,-1,-1
SB,02,08,00,01,18,04,-1,-1
SB,02,08,00,01,18,05,-1,-1
SB,02,08,00,02,24,01,24.2,0
SB,02,08,00,02,24,02,23,0
SB,02,08,00,02,24,03,22.6,0
SB,02,08,00,02,24,04,22.8,0
SB,02,08,00,02,24,05,22.7,0
SB,02,08,00,03,30,01,30.5,0
SB,02,08,00,03,30,02,30.3,0
SB,02,08,00,03,30,03,30.4,0
SB,02,08,00,03,30,04,31,0
SB,02,08,00,03,30,05,31.1,0
SB,02,08,00,04,36,01,37.5,0
SB,02,08,00,04,36,02,36,0
SB,02,08,00,04,36,03,36.2,0
SB,02,08,00,04,36,04,36.2,0
SB,02,08,00,04,36,05,36.2,0
SB,02,08,00,05,42,01,44.5,0
SB,02,08,00,05,42,02,43.8,0
