pallet,extrusion,layer_height,nn-formula,line,layer_width_intended,replicate,layer_width_measured,over-under,exp_speed
SA1,2,5,0,1,18,1,-1.0,-1,394
SA1,2,5,0,1,18,2,-1.0,-1,394
SA1,2,5,0,1,18,3,-1.0,-1,394
SA1,2,5,0,1,18,4,-1.0,-1,394
SA1,2,5,0,1,18,5,-1.0,-1,394
SA1,2,5,0,2,24,1,20.5,-1,291
SA1,2,5,0,2,24,2,19.7,-1,291
SA1,2,5,0,2,24,3,20.7,-1,291
SA1,2,5,0,2,24,4,21.8,-1,291
SA1,2,5,0,2,24,5,22.7,-1,291
SA1,2,5,0,3,30,1,30.7,0,230
SA1,2,5,0,3,30,2,31.3,0,230
SA1,2,5,0,3,30,3,31.3,0,230
SA1,2,5,0,3,30,4,31.0,0,230
SA1,2,5,0,3,30,5,30.8,0,230
SA1,2,5,0,4,36,1,37.2,0,191
SA1,2,5,0,4,36,2,37.3,0,191
SA1,2,5,0,4,36,3,37.0,0,191
SA1,2,5,0,4,36,4,37.1,0,191
SA1,2,5,0,4,36,5,37.6,0,191
SA1,2,5,0,5,42,1,42.9,1,163
SA1,2,5,0,5,42,2,43.8,1,163
SA1,2,5,0,5,42,3,43.6,1,163
SA1,2,5,0,5,42,4,44.0,1,163
SA1,2,5,0,5,42,5,43.1,1,163
SA1,2,5,0,6,48,1,53.0,1,142
SA1,2,5,0,6,48,2,52.1,1,142
SA1,2,5,0,6,48,3,50.1,1,142
SA1,2,5,0,6,48,4,53.7,1,142
SA1,2,5,0,6,48,5,49.6,1,142
SA1,2,5,0,7,54,1,57.1,1,126
SA1,2,5,0,7,54,2,56.6,1,126
SA1,2,5,0,7,54,3,55.5,1,126
SA1,2,5,0,7,54,4,56.4,1,126
SA1,2,5,0,7,54,5,56.7,1,126
SA1,2,5,1,1,18,1,-1.0,-1,394
SA1,2,5,1,1,18,2,-1.0,-1,394
SA1,2,5,1,1,18,3,-1.0,-1,394
SA1,2,5,1,1,18,4,-1.0,-1,394
SA1,2,5,1,1,18,5,-1.0,-1,394
SA1,2,5,1,2,24,1,21.3,-1,291
SA1,2,5,1,2,24,2,21.7,-1,291
SA1,2,5,1,2,24,3,22.5,-1,291
SA1,2,5,1,2,24,4,23.0,-1,291
SA1,2,5,1,2,24,5,23.4,-1,291
SA1,2,5,1,3,30,1,32.6,0,230
SA1,2,5,1,3,30,2,31.4,0,230
SA1,2,5,1,3,30,3,31.1,0,230
SA1,2,5,1,3,30,4,30.7,0,230
SA1,2,5,1,3,30,5,30.3,0,230
SA1,2,5,1,4,36,1,38.4,0,191
SA1,2,5,1,4,36,2,37.5,0,191
SA1,2,5,1,4,36,3,37.2,0,191
SA1,2,5,1,4,36,4,37.3,0,191
SA1,2,5,1,4,36,5,37.7,0,191
SA1,2,5,1,5,42,1,43.9,1,163
SA1,2,5,1,5,42,2,45.7,1,163
SA1,2,5,1,5,42,3,45.3,1,163
SA1,2,5,1,5,42,4,46.4,1,163
SA1,2,5,1,5,42,5,46.1,1,163
SA1,2,5,1,6,48,1,51.1,1,142
SA1,2,5,1,6,48,2,49.3,1,142
SA1,2,5,1,6,48,3,50.2,1,142
SA1,2,5,1,6,48,4,49.5,1,142
SA1,2,5,1,6,48,5,50.0,1,142
SA1,2,5,1,7,54,1,58.0,1,126
SA1,2,5,1,7,54,2,57.3,1,126
SA1,2,5,1,7,54,3,54.6,1,126
SA1,2,5,1,7,54,4,54.0,1,126
SA1,2,5,1,7,54,5,54.7,1,126
SB,2,8,0,1,18,1,-1.0,-1,256
SB,2,8,0,1,18,2,-1.0,-1,256
SB,2,8,0,1,18,3,-1.0,-1,256
SB,2,8,0,1,18,4,-1.0,-1,256
SB,2,8,0,1,18,5,-1.0,-1,256
SB,2,8,0,2,24,1,24.2,0,187
SB,2,8,0,2,24,2,23.0,0,187
SB,2,8,0,2,24,3,22.6,0,187
SB,2,8,0,2,24,4,22.8,0,187
SB,2,8,0,2,24,5,22.7,0,187
SB,2,8,0,3,30,1,30.5,0,147
SB,2,8,0,3,30,2,30.3,0,147
SB,2,8,0,3,30,3,30.4,0,147
SB,2,8,0,3,30,4,31.0,0,147
SB,2,8,0,3,30,5,31.1,0,147
SB,2,8,0,4,36,1,37.5,0,122
SB,2,8,0,4,36,2,36.0,0,122
SB,2,8,0,4,36,3,36.2,0,122
SB,2,8,0,4,36,4,36.2,0,122
SB,2,8,0,4,36,5,36.2,0,122
SB,2,8,0,5,42,1,44.5,0,103
SB,2,8,0,5,42,2,43.8,0,103
SB,2,8,0,5,42,3,44.8,0,103
SB,2,8,0,5,42,4,44.0,0,103
SB,2,8,0,5,42,5,44.0,0,103
SB,2,8,0,6,48,1,50.3,1,90
SB,2,8,0,6,48,2,50.3,1,90
SB,2,8,0,6,48,3,50.0,1,90
SB,2,8,0,6,48,4,48.5,1,90
SB,2,8,0,6,48,5,48.6,1,90
SB,2,8,0,7,54,1,57.0,1,80
SB,2,8,0,7,54,2,57.6,1,80
SB,2,8,0,7,54,3,58.4,1,80
SB,2,8,0,7,54,4,56.0,1,80
SB,2,8,0,7,54,5,56.1,1,80
SB,2,8,1,1,18,1,-1.0,-1,256
SB,2,8,1,1,18,2,-1.0,-1,256
SB,2,8,1,1,18,3,-1.0,-1,256
SB,2,8,1,1,18,4,-1.0,-1,256
SB,2,8,1,1,18,5,-1.0,-1,256
SB,2,8,1,2,24,1,24.3,0,187
SB,2,8,1,2,24,2,24.4,0,187
SB,2,8,1,2,24,3,24.0,0,187
SB,2,8,1,2,24,4,23.6,0,187
SB,2,8,1,2,24,5,23.8,0,187
SB,2,8,1,3,30,1,31.1,0,147
SB,2,8,1,3,30,2,30.7,0,147
SB,2,8,1,3,30,3,31.1,0,147
SB,2,8,1,3,30,4,30.9,0,147
SB,2,8,1,3,30,5,30.7,0,147
SB,2,8,1,4,36,1,37.5,0,122
SB,2,8,1,4,36,2,37.8,0,122
SB,2,8,1,4,36,3,36.8,0,122
SB,2,8,1,4,36,4,37.2,0,122
SB,2,8,1,4,36,5,37.4,0,122
SB,2,8,1,5,42,1,45.8,0,103
SB,2,8,1,5,42,2,44.6,0,103
SB,2,8,1,5,42,3,44.4,0,103
SB,2,8,1,5,42,4,43.6,0,103
SB,2,8,1,5,42,5,44.4,0,103
SB,2,8,1,6,48,1,48.9,1,90
SB,2,8,1,6,48,2,49.7,1,90
SB,2,8,1,6,48,3,50.7,1,90
SB,2,8,1,6,48,4,49.0,1,90
SB,2,8,1,6,48,5,50.0,1,90
SB,2,8,1,7,54,1,58.3,1,80
SB,2,8,1,7,54,2,59.4,1,80
SB,2,8,1,7,54,3,56.9,1,80
SB,2,8,1,7,54,4,59.6,1,80
SB,2,8,1,7,54,5,55.1,1,80
L2L,2,10,0,1,18,1,-1.0,-1,210
L2L,2,10,0,1,18,2,-1.0,-1,210
L2L,2,10,0,1,18,3,-1.0,-1,210
L2L,2,10,0,1,18,4,-1.0,-1,210
L2L,2,10,0,1,18,5,-1.0,-1,210
L2L,2,10,0,2,24,1,23.4,0,153
L2L,2,10,0,2,24,2,23.0,0,153
L2L,2,10,0,2,24,3,23.6,0,153
L2L,2,10,0,2,24,4,23.1,0,153
L2L,2,10,0,2,24,5,23.2,0,153
L2L,2,10,0,3,30,1,29.6,0,120
L2L,2,10,0,3,30,2,29.4,0,120
L2L,2,10,0,3,30,3,29.5,0,120
L2L,2,10,0,3,30,4,29.0,0,120
L2L,2,10,0,3,30,5,29.0,0,120
L2L,2,10,0,4,36,1,35.6,0,98
