extrusion,layer_width,layer_height,nn_speed,formula_speed
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.4,362,367
2,18,5.85,340,340
2,18,6.3,318,318
2,18,6.75,297,298
2,18,7.2,278,281
2,18,7.65,260,266
2,18,8.1,244,253
2,18,8.55,231,241
2,18,9.0,221,230
2,18,9.45,212,221
2,18,9.9,203,212
2,18,10.35,196,204
2,18,10.8,189,197
2,18,11.25,183,190
2,18,11.7,177,184
2,18,12.15,172,178
2,18,12.6,168,173
2,18,13.05,163,168
2,18,13.5,159,163
2,18,13.95,155,159
2,18,14.4,152,155
2,18,14.85,148,152
2,18,15.3,145,148
2,18,15.75,141,145
2,18,16.2,139,142
2,18,16.65,136,139
2,18,17.1,134,136
2,18,17.55,131,133
2,18,13.0,164,169
2,18,13.45,160,164
2,18,13.9,156,160
2,18,14.35,152,156
2,18,14.8,148,152
2,18,15.25,145,148
2,18,15.7,142,145
2,18,16.15,139,142
2,18,16.6,136,139
2,18,17.05,134,136
2,18,17.5,132,134
2,18,17.95,130,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,18.0,129,131
2,18,17.982778,129,131
2,18,17.965556,130,131
2,18,17.948333,130,131
2,18,17.931111,130,131
2,18,17.913889,130,131
2,18,17.896667,130,132
2,18,17.879444,130,132
2,18,17.862222,130,132
2,18,17.845,130,132
2,18,17.827778,130,132
2,18,17.810556,130,132
2,18,17.793333,130,132
2,18,17.776111,130,132
2,18,17.758889,130,132
2,18,17.741667,131,132
2,18,17.724444,131,132
2,18,17.707222,131,133
2,18,17.69,131,133
2,18,17.672778,131,133
2,18,17.655556,131,133
2,18,17.638333,131,133
2,18,17.621111,131,133
2,18,17.603889,131,133
2,18,17.586667,131,133
2,18,17.569444,131,133
2,18,17.552222,131,133
2,18,17.535,131,134
2,18,17.517778,132,134
2,18,17.500556,132,134
2,18,17.483333,132,134
2,18,17.466111,132,134
2,18,17.448889,132,134
2,18,17.431667,132,134
2,18,17.414444,132,134
2,18,17.397222,132,134
2,18,17.38,132,134
2,18,17.362778,132,134
2,18,17.345556,132,135
2,18,17.328333,132,135
2,18,17.311111,133,135
2,18,17.278611,133,135
2,18,17.246111,133,135
2,18,17.213611,133,135
2,18,17.181111,133,136
2,18,17.148611,133,136
2,18,17.116111,134,136
2,18,17.083611,134,136
2,18,17.051111,134,136
2,18,17.018611,134,137
2,18,16.986111,134,137
2,18,16.953611,134,137
2,18,16.921111,135,137
2,18,16.888611,135,137
2,18,16.856111,135,137
2,18,16.823611,135,138
2,18,16.791111,135,138
2,18,16.758611,135,138
2,18,16.726111,136,138
2,18,16.693611,136,138
2,18,16.661111,136,139
2,18,16.628611,136,139
2,18,16.596111,136,139
2,18,16.563611,136,139
2,18,16.531111,137,140
2,18,16.498611,137,140
2,18,16.466111,137,140
2,18,16.433611,137,140
2,18,16.401111,137,140
2,18,16.368611,138,141
2,18,16.336111,138,141
2,18,16.303611,138,141
2,18,16.271111,138,141
2,18,16.238611,138,141
2,18,16.206111,139,142
2,18,16.173611,139,142
2,18,16.141111,139,142
2,18,16.108611,139,142
2,18,16.076111,139,143
2,18,16.043611,140,143
2,18,16.011111,140,143
2,18,15.978611,140,143
2,18,15.946111,140,143
2,18,15.913611,140,144
2,18,15.881111,141,144
2,18,15.848611,141,144
2,18,15.816111,141,144
2,18,15.783611,141,145
2,18,15.751111,141,145
2,18,15.718611,142,145
2,18,15.686111,142,145
2,18,15.653611,142,145
2,18,15.621111,142,146
2,18,15.588611,143,146
2,18,15.556111,143,146
2,18,15.523611,143,146
2,18,15.491111,143,147
2,18,15.458611,143,147
2,18,15.426111,144,147
2,18,15.393611,144,147
2,18,15.361111,144,148
2,18,15.328611,144,148
2,18,15.296111,145,148
2,18,15.263611,145,148
2,18,15.231111,145,149
2,18,15.198611,145,149
2,18,15.166111,146,149
2,18,15.133611,146,149
2,18,15.101111,146,150
2,18,15.068611,146,150
2,18,15.036111,147,150
2,18,15.003611,147,150
2,18,14.971111,147,151
2,18,14.938611,147,151
2,18,14.906111,148,151
2,18,14.873611,148,151
2,18,14.841111,148,152
2,18,14.808611,148,152
2,18,14.776111,149,152
2,18,14.743611,149,152
2,18,14.711111,149,153
2,18,14.678611,149,153
2,18,14.646111,150,153
2,18,14.613611,150,153
2,18,14.581111,150,154
2,18,14.548611,150,154
2,18,14.516111,151,154
2,18,14.483611,151,155
2,18,14.451111,151,155
2,18,14.418611,151,155
2,18,14.386111,152,155
2,18,14.353611,152,156
2,18,14.321111,152,156
2,18,14.288611,152,156
2,18,14.256111,153,156
2,18,14.223611,153,157
2,18,14.191111,153,157
2,18,14.158611,154,157
2,18,14.126111,154,158
2,18,14.093611,154,158
2,18,14.061111,154,158
2,18,14.028611,155,159
2,18,13.996111,155,159
2,18,13.963611,155,159
2,18,13.931111,155,159
2,18,13.898611,156,160
2,18,13.866111,156,160
2,18,13.833611,156,160
2,18,13.801111,157,161
2,18,13.768611,157,161
2,18,13.736111,157,161
2,18,13.703611,157,162
2,18,13.671111,158,162
2,18,13.638611,158,162
2,18,13.606111,158,162
2,18,13.573611,159,163
2,18,13.541111,159,163
2,18,13.508611,159,163
2,18,13.476111,159,164
2,18,13.443611,160,164
2,18,13.411111,160,164
2,18,13.378611,160,165
2,18,13.346111,161,165
2,18,13.313611,161,165
2,18,13.281111,161,166
2,18,13.248611,161,166
2,18,13.216111,162,166
2,18,13.183611,162,167
2,18,13.151111,162,167
2,18,13.118611,163,167
2,18,13.086111,163,168
2,18,13.053611,163,168
2,18,13.021111,163,168
2,18,12.988611,164,169
2,18,12.956111,164,169
2,18,12.923611,164,169
2,18,12.891111,165,170
2,18,12.858611,165,170
2,18,12.826111,165,170
2,18,12.793611,166,171
2,18,12.761111,166,171
2,18,12.728611,166,172
2,18,12.696111,167,172
2,18,12.663611,167,172
2,18,12.631111,167,173
2,18,12.598611,168,173
2,18,12.566111,168,173
2,18,12.533611,168,174
2,18,12.501111,168,174
2,18,12.468611,169,174
2,18,12.436111,169,175
2,18,12.403611,169,175
2,18,12.371111,170,176
2,18,12.338611,170,176
2,18,12.306111,170,176
2,18,12.273611,171,177
2,18,12.241111,171,177
2,18,12.208611,171,178
2,18,12.176111,172,178
2,18,12.143611,172,178
2,18,12.111111,173,179
2,18,12.078611,173,179
2,18,12.046111,173,180
2,18,12.013611,174,180
2,18,11.981111,174,180
2,18,11.948611,174,181
2,18,11.916111,175,181
2,18,11.883611,175,182
2,18,11.851111,175,182
2,18,11.818611,176,182
2,18,11.786111,176,183
2,18,11.753611,176,183
2,18,11.721111,177,184
2,18,11.688611,177,184
2,18,11.656111,178,185
2,18,11.623611,178,185
2,18,11.591111,178,185
2,18,11.558611,179,186
2,18,11.526111,179,186
2,18,11.493611,179,187
2,18,11.461111,180,187
2,18,11.428611,180,188
2,18,11.396111,181,188
2,18,11.363611,181,189
2,18,11.331111,181,189
2,18,11.298611,182,189
2,18,11.266111,182,190
2,18,11.233611,183,190
2,18,11.201111,183,191
2,18,11.168611,184,191
2,18,11.136111,184,192
2,18,11.103611,184,192
2,18,11.071111,185,193
2,18,11.038611,185,193
2,18,11.006111,186,194
2,18,10.973611,186,194
2,18,10.941111,187,195
2,18,10.908611,187,195
2,18,10.876111,188,196
2,18,10.843611,188,196
2,18,10.811111,189,197
2,18,10.778611,189,197
2,18,10.746111,189,198
2,18,10.713611,190,198
2,18,10.681111,190,199
2,18,10.648611,191,199
2,18,10.616111,191,200
2,18,10.583611,192,200
2,18,10.551111,192,201
2,18,10.518611,193,201
2,18,10.486111,193,202
2,18,10.453611,194,202
2,18,10.421111,194,203
2,18,10.388611,195,203
2,18,10.356111,195,204
2,18,10.323611,196,205
2,18,10.291111,196,205
2,18,10.258611,197,206
2,18,10.226111,198,206
2,18,10.193611,198,207
2,18,10.161111,199,207
2,18,10.128611,199,208
2,18,10.096111,200,209
2,18,10.063611,200,209
2,18,10.031111,201,210
2,18,9.998611,201,210
2,18,9.966111,202,211
2,18,9.933611,203,211
2,18,9.901111,203,212
2,18,9.868611,204,213
2,18,9.836111,204,213
2,18,9.803611,205,214
2,18,9.771111,205,215
2,18,9.738611,206,215
2,18,9.706111,207,216
2,18,9.673611,207,216
2,18,9.641111,208,217
2,18,9.608611,209,218
2,18,9.576111,209,218
2,18,9.543611,210,219
2,18,9.511111,210,220
2,18,9.478611,211,220
2,18,9.446111,212,221
2,18,9.413611,212,222
2,18,9.381111,213,222
2,18,9.348611,214,223
2,18,9.316111,214,224
2,18,9.283611,215,224
2,18,9.251111,216,225
2,18,9.218611,216,226
2,18,9.186111,217,226
2,18,9.153611,218,227
2,18,9.121111,218,228
2,18,9.088611,219,229
2,18,9.056111,220,229
2,18,9.023611,220,230
2,18,8.991111,221,231
2,18,8.958611,222,231
2,18,8.926111,223,232
2,18,8.893611,223,233
2,18,8.861111,224,234
2,18,8.828611,225,234
2,18,8.796111,225,235
2,18,8.763611,226,236
2,18,8.731111,227,237
2,18,8.698611,228,238
2,18,8.666111,228,238
2,18,8.633611,229,239
2,18,8.601111,230,240
2,18,8.568611,231,241
2,18,8.536111,232,242
2,18,8.503611,233,242
2,18,8.471111,233,243
2,18,8.438611,234,244
2,18,8.406111,235,245
2,18,8.373611,236,246
2,18,8.341111,237,247
2,18,8.308611,238,247
2,18,8.276111,239,248
2,18,8.243611,240,249
2,18,8.211111,241,250
2,18,8.178611,242,251
2,18,8.146111,243,252
2,18,8.113611,244,253
2,18,8.081111,245,254
2,18,8.048611,246,255
2,18,8.016111,247,255
2,18,7.983611,248,256
2,18,7.951111,249,257
2,18,7.918611,250,258
2,18,7.886111,251,259
2,18,7.853611,252,260
2,18,7.821111,254,261
2,18,7.788611,255,262
2,18,7.756111,256,263
2,18,7.723611,257,264
2,18,7.691111,258,265
2,18,7.658611,259,266
2,18,7.626111,261,267
2,18,7.593611,262,268
2,18,7.561111,263,269
2,18,7.528611,264,270
2,18,7.496111,266,271
2,18,7.463611,267,272
2,18,7.431111,268,273
2,18,7.398611,269,275
2,18,7.366111,271,276
2,18,7.333611,272,277
2,18,7.301111,273,278
2,18,7.268611,275,279
2,18,7.236111,276,280
2,18,7.203611,277,281
2,18,7.171111,279,282
2,18,7.138611,280,284
2,18,7.106111,281,285
2,18,7.073611,283,286
2,18,7.041111,284,287
2,18,7.008611,286,288
2,18,6.976111,287,290
2,18,6.943611,289,291
2,18,6.911111,290,292
2,18,6.863333,292,294
2,18,6.815556,294,296
2,18,6.767778,296,298
2,18,6.72,299,300
2,18,6.672222,301,302
2,18,6.624444,303,304
2,18,6.576667,305,306
2,18,6.528889,307,308
2,18,6.481111,310,310
2,18,6.433333,312,312
2,18,6.385556,314,314
2,18,6.337778,316,316
2,18,6.29,319,318
2,18,6.242222,321,321
2,18,6.194444,323,323
2,18,6.146667,326,325
2,18,6.098889,328,327
2,18,6.051111,330,330
2,18,6.003333,332,332
2,18,5.955556,335,335
2,18,5.907778,337,337
2,18,5.86,339,340
2,18,5.812222,342,342
2,18,5.764444,344,345
2,18,5.716667,346,348
2,18,5.668889,349,350
2,18,5.621111,351,353
2,18,5.573333,353,356
2,18,5.525556,356,359
2,18,5.477778,358,362
2,18,5.43,360,365
2,18,5.382222,363,368
2,18,5.334444,365,371
2,18,5.286667,367,374
2,18,5.238889,370,377
2,18,5.191111,372,380
2,18,5.143333,374,384
2,18,5.095556,377,387
2,18,5.047778,379,390
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,18,5.0,381,394
2,24,5.0,279,291
2,24,5.0,279,291
2,24,5.0,279,291
2,24,5.0,279,291
2,24,5.0,279,291
2,24,5.0,279,291
2,24,5.0,279,291
2,24,5.0,279,291
2,24,5.0,279,291
2,24,5.0,279,291
2,24,5.0,279,291
2,24,5.0,279,291
2,24,5.4,260,270
2,24,5.85,240,251
2,24,6.3,221,234
2,24,6.75,204,219
2,24,7.2,188,206
2,24,7.65,175,195
2,24,8.1,164,185
2,24,8.55,155,176
2,24,9.0,148,168
2,24,9.45,142,161
2,24,9.9,137,154
2,24,10.35,132,148
2,24,10.8,127,142
2,24,11.25,122,137
2,24,11.7,118,133
2,24,12.15,115,128
2,24,12.6,111,124
2,24,13.05,108,120
2,24,13.5,104,117
2,24,13.95,101,114
2,24,14.4,98,111
2,24,14.85,95,108
2,24,15.3,92,105
2,24,15.75,90,103
2,24,16.2,87,100
2,24,16.65,85,98
2,24,17.1,83,96
